Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Poland,Price / Poland,Compare At Price / Poland,Included / Nike,Price / Nike,Compare At Price / Nike,Status
perfume,COSMETICS,http://www.kraboweskorupki.com/,Krabowe Skorupki,,PERFUME,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_010,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/PERFUME.jpg?v=1595079702,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
nutrition,NUTRITION,http://www.kraboweskorupki.com/,Krabowe Skorupki,,NUTRITION,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_026,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/Grenade-Carb-Killa-Shake-Banana-Armour-330ml-Tray.jpg?v=1641468321,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
lyxury-goods,LYXURY GOODS,http://www.kraboweskorupki.com/,Krabowe Skorupki,,LYXURY GOODS,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_025,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/CartierCollection.jpg?v=1641468287,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
logistics,LOGISTICS,http://www.kraboweskorupki.com/,Krabowe Skorupki,,LOGISTICS,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_024,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/LOGISTICS.jpg?v=1595079083,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
limited-series,LIMITED SERIES,http://www.kraboweskorupki.com/,Krabowe Skorupki,,LIMITED SERIES,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_023,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/LIMITEDSERIES.jpg?v=1595079063,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
investmental-advisory,INVESTMENTAL ADVISORY,http://www.kraboweskorupki.com/,Krabowe Skorupki,,INVESTMENTAL ADVISORY,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_018,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/INVESTMENTALADVISORY.jpg?v=1595079041,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
games,GAMES,http://www.kraboweskorupki.com/,Krabowe Skorupki,,GAMES,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_017,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/GAMES.jpg?v=1595079019,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
extreme-sport,EXTREME SPORT,http://www.kraboweskorupki.com/,Krabowe Skorupki,,EXTREME SPORT,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_016,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/MikolajRoszak_21.jpg?v=1641468112,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
engineering,ENGINEERING,http://www.kraboweskorupki.com/,Krabowe Skorupki,,ENGINEERING,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_015,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/ENGINEERING.jpg?v=1595078976,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
design-porototype,DESIGN POROTOTYPE,http://www.kraboweskorupki.com/,Krabowe Skorupki,,DESIGN POROTOTYPE,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_014,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/DESIGNPOROTOTYPE.jpg?v=1595078953,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
dedicated-projects,DEDICATED PROJECTS,http://www.kraboweskorupki.com/,Krabowe Skorupki,,DEDICATED PROJECTS,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_013,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/DEDICATEDPROJECTS.jpg?v=1595078929,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
cryptocurrency,CRYPTOCURRENCY,http://www.kraboweskorupki.com/,Krabowe Skorupki,,CRYPTOCURRENCY,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_011,0.0,shopify,continue,mikolaj-roszak,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/CRYPTOCURRENCY.jpg?v=1595078906,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
